D�tail point d'acc�s;
Nom; Copro VZW - PV;
Num�ro EAN;541454897100011921;
Rue;Z. 1 RESEARCHPARK;
Num�ro maison;190 DN01;
Code postal;1731;
Commune;ZELLIK;
Type d'�nergie;;
Type de m�tre;Continue
Direction;Consommation;
;
;;;
Canal;Date;Valeur;Validation;Raison;Enit�;
A;03/06/2014 14:30;0;N;ORIG;KWH;
A;03/06/2014 14:45;0;N;ORIG;KWH;
A;03/06/2014 15:00;0;N;ORIG;KWH;
A;03/06/2014 15:15;0;N;ORIG;KWH;
A;03/06/2014 15:30;0;N;ORIG;KWH;
A;03/06/2014 15:45;0;N;ORIG;KWH;
A;03/06/2014 16:00;0;N;ORIG;KWH;
A;03/06/2014 16:15;0;N;ORIG;KWH;
A;03/06/2014 16:30;0;N;ORIG;KWH;
A;03/06/2014 16:45;0;N;ORIG;KWH;
A;03/06/2014 17:00;0;N;ORIG;KWH;
A;03/06/2014 17:15;0;N;ORIG;KWH;
A;03/06/2014 17:30;0;N;ORIG;KWH;
A;03/06/2014 17:45;0;N;ORIG;KWH;
A;03/06/2014 18:00;0;N;ORIG;KWH;
A;03/06/2014 18:15;0;N;ORIG;KWH;
A;03/06/2014 18:30;0;N;ORIG;KWH;
A;03/06/2014 18:45;0;N;ORIG;KWH;
A;03/06/2014 19:00;0;N;ORIG;KWH;
A;03/06/2014 19:15;0;N;ORIG;KWH;
A;03/06/2014 19:30;0;N;ORIG;KWH;
A;03/06/2014 19:45;0;N;ORIG;KWH;
A;03/06/2014 20:00;0;N;ORIG;KWH;
A;03/06/2014 20:15;0;N;ORIG;KWH;
A;03/06/2014 20:30;0;N;ORIG;KWH;
A;03/06/2014 20:45;0;N;ORIG;KWH;
A;03/06/2014 21:00;0;N;ORIG;KWH;
A;03/06/2014 21:15;0;N;ORIG;KWH;
A;03/06/2014 21:30;0;N;ORIG;KWH;
A;03/06/2014 21:45;0;N;ORIG;KWH;
A;03/06/2014 22:00;0;N;ORIG;KWH;
A;03/06/2014 22:15;0;N;ORIG;KWH;
A;03/06/2014 22:30;0;N;ORIG;KWH;
A;03/06/2014 22:45;0;N;ORIG;KWH;
A;03/06/2014 23:00;0,025;N;ORIG;KWH;
A;03/06/2014 23:15;0;N;ORIG;KWH;
A;03/06/2014 23:30;0;N;ORIG;KWH;
A;03/06/2014 23:45;0;N;ORIG;KWH;
A;04/06/2014 00:00;0;N;ORIG;KWH;
A;04/06/2014 00:15;0;N;ORIG;KWH;
A;04/06/2014 00:30;0;N;ORIG;KWH;
A;04/06/2014 00:45;0,025;N;ORIG;KWH;
A;04/06/2014 01:00;0;N;ORIG;KWH;
A;04/06/2014 01:15;0;N;ORIG;KWH;
A;04/06/2014 01:30;0;N;ORIG;KWH;
A;04/06/2014 01:45;0;N;ORIG;KWH;
A;04/06/2014 02:00;0;N;ORIG;KWH;
A;04/06/2014 02:15;0,025;N;ORIG;KWH;
A;04/06/2014 02:30;0;N;ORIG;KWH;
A;04/06/2014 02:45;0;N;ORIG;KWH;
A;04/06/2014 03:00;0;N;ORIG;KWH;
A;04/06/2014 03:15;0;N;ORIG;KWH;
A;04/06/2014 03:30;0;N;ORIG;KWH;
A;04/06/2014 03:45;0,025;N;ORIG;KWH;
A;04/06/2014 04:00;0;N;ORIG;KWH;
A;04/06/2014 04:15;0;N;ORIG;KWH;
A;04/06/2014 04:30;0;N;ORIG;KWH;
A;04/06/2014 04:45;0;N;ORIG;KWH;
A;04/06/2014 05:00;0;N;ORIG;KWH;
A;04/06/2014 05:15;0;N;ORIG;KWH;
A;04/06/2014 05:30;0,025;N;ORIG;KWH;
A;04/06/2014 05:45;0;N;ORIG;KWH;
A;04/06/2014 06:00;0;N;ORIG;KWH;
A;04/06/2014 06:15;0;N;ORIG;KWH;
A;04/06/2014 06:30;0;N;ORIG;KWH;
A;04/06/2014 06:45;0;N;ORIG;KWH;
A;04/06/2014 07:00;0;N;ORIG;KWH;
A;04/06/2014 07:15;0;N;ORIG;KWH;
A;04/06/2014 07:30;0;N;ORIG;KWH;
A;04/06/2014 07:45;0;N;ORIG;KWH;
A;04/06/2014 08:00;0;N;ORIG;KWH;
A;04/06/2014 08:15;0;N;ORIG;KWH;
A;04/06/2014 08:30;0;N;ORIG;KWH;
A;04/06/2014 08:45;0;N;ORIG;KWH;
A;04/06/2014 09:00;0;N;ORIG;KWH;
A;04/06/2014 09:15;0;N;ORIG;KWH;
A;04/06/2014 09:30;0;N;ORIG;KWH;
A;04/06/2014 09:45;0;N;ORIG;KWH;
A;04/06/2014 10:00;0;N;ORIG;KWH;
A;04/06/2014 10:15;0;N;ORIG;KWH;
A;04/06/2014 10:30;0;N;ORIG;KWH;
A;04/06/2014 10:45;0;N;ORIG;KWH;
A;04/06/2014 11:00;0;N;ORIG;KWH;
A;04/06/2014 11:15;0;N;ORIG;KWH;
A;04/06/2014 11:30;0;N;ORIG;KWH;
A;04/06/2014 11:45;0;N;ORIG;KWH;
A;04/06/2014 12:00;0;N;ORIG;KWH;
A;04/06/2014 12:15;0;N;ORIG;KWH;
A;04/06/2014 12:30;0;N;ORIG;KWH;
A;04/06/2014 12:45;0;N;ORIG;KWH;
A;04/06/2014 13:00;0;N;ORIG;KWH;
A;04/06/2014 13:15;0;N;ORIG;KWH;
A;04/06/2014 13:30;0;N;ORIG;KWH;
A;04/06/2014 13:45;0;N;ORIG;KWH;
A;04/06/2014 14:00;0;N;ORIG;KWH;
A;04/06/2014 14:15;0;N;ORIG;KWH;
A;04/06/2014 14:30;0;N;ORIG;KWH;
A;04/06/2014 14:45;0;N;ORIG;KWH;
A;04/06/2014 15:00;0;N;ORIG;KWH;
A;04/06/2014 15:15;0;N;ORIG;KWH;
A;04/06/2014 15:30;0;N;ORIG;KWH;
A;04/06/2014 15:45;0;N;ORIG;KWH;
A;04/06/2014 16:00;0;N;ORIG;KWH;
A;04/06/2014 16:15;0;N;ORIG;KWH;
A;04/06/2014 16:30;0;N;ORIG;KWH;
A;04/06/2014 16:45;0;N;ORIG;KWH;
A;04/06/2014 17:00;0;N;ORIG;KWH;
A;04/06/2014 17:15;0;N;ORIG;KWH;
A;04/06/2014 17:30;0;N;ORIG;KWH;
A;04/06/2014 17:45;0;N;ORIG;KWH;
A;04/06/2014 18:00;0;N;ORIG;KWH;
A;04/06/2014 18:15;0;N;ORIG;KWH;
A;04/06/2014 18:30;0;N;ORIG;KWH;
A;04/06/2014 18:45;0;N;ORIG;KWH;
A;04/06/2014 19:00;0;N;ORIG;KWH;
A;04/06/2014 19:15;0;N;ORIG;KWH;
A;04/06/2014 19:30;0;N;ORIG;KWH;
A;04/06/2014 19:45;0;N;ORIG;KWH;
A;04/06/2014 20:00;0;N;ORIG;KWH;
A;04/06/2014 20:15;0;N;ORIG;KWH;
A;04/06/2014 20:30;0;N;ORIG;KWH;
A;04/06/2014 20:45;0;N;ORIG;KWH;
A;04/06/2014 21:00;0;N;ORIG;KWH;
A;04/06/2014 21:15;0;N;ORIG;KWH;
A;04/06/2014 21:30;0;N;ORIG;KWH;
A;04/06/2014 21:45;0;N;ORIG;KWH;
A;04/06/2014 22:00;0,025;N;ORIG;KWH;
A;04/06/2014 22:15;0;N;ORIG;KWH;
A;04/06/2014 22:30;0;N;ORIG;KWH;
A;04/06/2014 22:45;0;N;ORIG;KWH;
A;04/06/2014 23:00;0;N;ORIG;KWH;
A;04/06/2014 23:15;0;N;ORIG;KWH;
A;04/06/2014 23:30;0,025;N;ORIG;KWH;
A;04/06/2014 23:45;0;N;ORIG;KWH;
A;05/06/2014 00:00;0;N;ORIG;KWH;
A;05/06/2014 00:15;0;N;ORIG;KWH;
A;05/06/2014 00:30;0;N;ORIG;KWH;
A;05/06/2014 00:45;0;N;ORIG;KWH;
A;05/06/2014 01:00;0;N;ORIG;KWH;
A;05/06/2014 01:15;0,025;N;ORIG;KWH;
A;05/06/2014 01:30;0;N;ORIG;KWH;
A;05/06/2014 01:45;0;N;ORIG;KWH;
A;05/06/2014 02:00;0;N;ORIG;KWH;
A;05/06/2014 02:15;0;N;ORIG;KWH;
A;05/06/2014 02:30;0;N;ORIG;KWH;
A;05/06/2014 02:45;0,025;N;ORIG;KWH;
A;05/06/2014 03:00;0;N;ORIG;KWH;
A;05/06/2014 03:15;0;N;ORIG;KWH;
A;05/06/2014 03:30;0;N;ORIG;KWH;
A;05/06/2014 03:45;0;N;ORIG;KWH;
A;05/06/2014 04:00;0;N;ORIG;KWH;
A;05/06/2014 04:15;0;N;ORIG;KWH;
A;05/06/2014 04:30;0,025;N;ORIG;KWH;
A;05/06/2014 04:45;0;N;ORIG;KWH;
A;05/06/2014 05:00;0;N;ORIG;KWH;
A;05/06/2014 05:15;0;N;ORIG;KWH;
A;05/06/2014 05:30;0;N;ORIG;KWH;
A;05/06/2014 05:45;0;N;ORIG;KWH;
A;05/06/2014 06:00;0,025;N;ORIG;KWH;
A;05/06/2014 06:15;0;N;ORIG;KWH;
A;05/06/2014 06:30;0;N;ORIG;KWH;
A;05/06/2014 06:45;0;N;ORIG;KWH;
A;05/06/2014 07:00;0;N;ORIG;KWH;
A;05/06/2014 07:15;0;N;ORIG;KWH;
A;05/06/2014 07:30;0;N;ORIG;KWH;
A;05/06/2014 07:45;0;N;ORIG;KWH;
A;05/06/2014 08:00;0;N;ORIG;KWH;
A;05/06/2014 08:15;0;N;ORIG;KWH;
A;05/06/2014 08:30;0;N;ORIG;KWH;
A;05/06/2014 08:45;0;N;ORIG;KWH;
A;05/06/2014 09:00;0;N;ORIG;KWH;
A;05/06/2014 09:15;0;N;ORIG;KWH;
A;05/06/2014 09:30;0;N;ORIG;KWH;
A;05/06/2014 09:45;0;N;ORIG;KWH;
A;05/06/2014 10:00;0;N;ORIG;KWH;
A;05/06/2014 10:15;0;N;ORIG;KWH;
A;05/06/2014 10:30;0;N;ORIG;KWH;
A;05/06/2014 10:45;0;N;ORIG;KWH;
A;05/06/2014 11:00;0;N;ORIG;KWH;
A;05/06/2014 11:15;0;N;ORIG;KWH;
A;05/06/2014 11:30;0;N;ORIG;KWH;
A;05/06/2014 11:45;0;N;ORIG;KWH;
A;05/06/2014 12:00;0;N;ORIG;KWH;
A;05/06/2014 12:15;0;N;ORIG;KWH;
A;05/06/2014 12:30;0;N;ORIG;KWH;
A;05/06/2014 12:45;0;N;ORIG;KWH;
A;05/06/2014 13:00;0;N;ORIG;KWH;
A;05/06/2014 13:15;0;N;ORIG;KWH;
A;05/06/2014 13:30;0;N;ORIG;KWH;
A;05/06/2014 13:45;0;N;ORIG;KWH;
A;05/06/2014 14:00;0;N;ORIG;KWH;
A;05/06/2014 14:15;0;N;ORIG;KWH;
A;05/06/2014 14:30;0;N;ORIG;KWH;
A;05/06/2014 14:45;0;N;ORIG;KWH;
A;05/06/2014 15:00;0;N;ORIG;KWH;
A;05/06/2014 15:15;0;N;ORIG;KWH;
A;05/06/2014 15:30;0;N;ORIG;KWH;
A;05/06/2014 15:45;0;N;ORIG;KWH;
A;05/06/2014 16:00;0;N;ORIG;KWH;
A;05/06/2014 16:15;0;N;ORIG;KWH;
A;05/06/2014 16:30;0;N;ORIG;KWH;
A;05/06/2014 16:45;0;N;ORIG;KWH;
A;05/06/2014 17:00;0;N;ORIG;KWH;
A;05/06/2014 17:15;0;N;ORIG;KWH;
A;05/06/2014 17:30;0;N;ORIG;KWH;
A;05/06/2014 17:45;0;N;ORIG;KWH;
A;05/06/2014 18:00;0;N;ORIG;KWH;
A;05/06/2014 18:15;0;N;ORIG;KWH;
A;05/06/2014 18:30;0;N;ORIG;KWH;
A;05/06/2014 18:45;0;N;ORIG;KWH;
A;05/06/2014 19:00;0;N;ORIG;KWH;
A;05/06/2014 19:15;0;N;ORIG;KWH;
A;05/06/2014 19:30;0;N;ORIG;KWH;
A;05/06/2014 19:45;0;N;ORIG;KWH;
A;05/06/2014 20:00;0;N;ORIG;KWH;
A;05/06/2014 20:15;0;N;ORIG;KWH;
A;05/06/2014 20:30;0;N;ORIG;KWH;
A;05/06/2014 20:45;0;N;ORIG;KWH;
A;05/06/2014 21:00;0;N;ORIG;KWH;
A;05/06/2014 21:15;0;N;ORIG;KWH;
A;05/06/2014 21:30;0;N;ORIG;KWH;
A;05/06/2014 21:45;0;N;ORIG;KWH;
A;05/06/2014 22:00;0;N;ORIG;KWH;
A;05/06/2014 22:15;0;N;ORIG;KWH;
A;05/06/2014 22:30;0;N;ORIG;KWH;
A;05/06/2014 22:45;0;N;ORIG;KWH;
A;05/06/2014 23:00;0,025;N;ORIG;KWH;
A;05/06/2014 23:15;0;N;ORIG;KWH;
A;05/06/2014 23:30;0;N;ORIG;KWH;
A;05/06/2014 23:45;0;N;ORIG;KWH;
A;06/06/2014 00:00;0;N;ORIG;KWH;
A;06/06/2014 00:15;0;N;ORIG;KWH;
A;06/06/2014 00:30;0;N;ORIG;KWH;
A;06/06/2014 00:45;0,025;N;ORIG;KWH;
A;06/06/2014 01:00;0;N;ORIG;KWH;
A;06/06/2014 01:15;0;N;ORIG;KWH;
A;06/06/2014 01:30;0;N;ORIG;KWH;
A;06/06/2014 01:45;0;N;ORIG;KWH;
A;06/06/2014 02:00;0;N;ORIG;KWH;
A;06/06/2014 02:15;0,025;N;ORIG;KWH;
A;06/06/2014 02:30;0;N;ORIG;KWH;
A;06/06/2014 02:45;0;N;ORIG;KWH;
A;06/06/2014 03:00;0;N;ORIG;KWH;
A;06/06/2014 03:15;0;N;ORIG;KWH;
A;06/06/2014 03:30;0;N;ORIG;KWH;
A;06/06/2014 03:45;0;N;ORIG;KWH;
A;06/06/2014 04:00;0,025;N;ORIG;KWH;
A;06/06/2014 04:15;0;N;ORIG;KWH;
A;06/06/2014 04:30;0;N;ORIG;KWH;
